dist_id,district_code,district_name,num_round,budget,received_tax,popul,N_area,U_area,Udense_area,AU_area,A_area,Us_area,Usdense_area,AUs_area,last(length_dikes_all),last(length_dikes_good),last(length_dikes_medium),last(length_dikes_bad),last(mean_alt_all_dikes),last(mean_alt_dikes_good),last(mean_alt_dikes_medium),last(mean_alt_dikes_bad),last(min_alt_all_dikes),last(min_alt_dikes_good),last(min_alt_dikes_medium),last(min_alt_dikes_bad),last(length_dunes_all),last(length_dunes_good),last(length_dunes_medium),last(length_dunes_bad),last(mean_alt_all_dunes),last(mean_alt_dunes_good),last(mean_alt_dunes_medium),last(mean_alt_dunes_bad),last(min_alt_all_dunes),last(min_alt_dunes_good),last(min_alt_dunes_medium),last(min_alt_dunes_bad),actions_cost,given_money,taken_money,transferred_money,levers_costs
2,17140,com-B,0,1362,0,3245,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,846.6834721643656,1810.033082294934,57.89847529760656,3.6070396503054574,3.7926231303418803,3.6535146561969443,3.0499726666666667,2.625541666666667,3.635229166666667,2.625541666666667,3.0499726666666667,933.7024065243625,0.0,933.7024065243625,0.0,0.0,0.0,4.68407481060606,0.0,0.0,0.0,4.306878787878787,0.0,0,0,0,0,0
2,17140,com-B,1,2745,1383,3293,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,846.6834721643656,1810.033082294934,57.89847529760656,3.6070396503054574,3.7926231303418803,3.6535146561969443,3.0499726666666667,2.625541666666667,3.635229166666667,2.625541666666667,3.0499726666666667,933.7024065243625,0.0,933.7024065243625,0.0,0.0,0.0,4.68407481060606,0.0,0.0,0.0,4.306878787878787,0.0,0,0,0,0,0
2,17140,com-B,2,4146,1401,3338,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,846.6834721643656,1810.033082294934,57.89847529760656,3.6070396503054574,3.7926231303418803,3.6535146561969443,3.0499726666666667,2.625541666666667,3.635229166666667,2.625541666666667,3.0499726666666667,933.7024065243625,0.0,933.7024065243625,0.0,0.0,0.0,4.68407481060606,0.0,0.0,0.0,4.306878787878787,0.0,0,0,0,0,0
2,17140,com-B,3,5561,1415,3370,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,846.6834721643656,1810.033082294934,57.89847529760656,3.6070396503054574,3.7926231303418803,3.6535146561969443,3.0499726666666667,2.625541666666667,3.635229166666667,2.625541666666667,3.0499726666666667,933.7024065243625,0.0,150.59986749697774,783.1025390273848,0.0,0.0,4.306878787878787,5.061270833333333,0.0,0.0,4.306878787878787,5.061270833333333,0,0,0,0,0
2,17140,com-B,4,6994,1433,3413,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,846.6834721643656,1791.45107972805,76.48047786449067,3.6070396503054574,3.7926231303418803,3.9961723193737035,2.837757166666667,2.625541666666667,3.635229166666667,3.580956904761905,2.625541666666667,933.7024065243625,0.0,150.59986749697774,783.1025390273848,0.0,0.0,4.306878787878787,5.061270833333333,0.0,0.0,4.306878787878787,5.061270833333333,0,0,0,0,0
2,17140,com-B,5,8444,1450,3453,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,846.6834721643656,1791.45107972805,76.48047786449067,3.6070396503054574,3.7926231303418803,3.9961723193737035,2.837757166666667,2.625541666666667,3.635229166666667,3.580956904761905,2.625541666666667,933.7024065243625,0.0,150.59986749697774,783.1025390273848,0.0,0.0,4.306878787878787,5.061270833333333,0.0,0.0,4.306878787878787,5.061270833333333,0,0,0,0,0
2,17140,com-B,6,9915,1471,3504,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,846.6834721643656,1791.45107972805,76.48047786449067,3.6070396503054574,3.7926231303418803,3.9961723193737035,2.837757166666667,2.625541666666667,3.635229166666667,3.580956904761905,2.625541666666667,933.7024065243625,0.0,0.0,933.7024065243625,0.0,0.0,0.0,4.68407481060606,0.0,0.0,0.0,4.306878787878787,0,0,0,0,0
2,17140,com-B,7,11401,1486,3539,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,846.6834721643656,1332.8059272807805,535.1256303117603,3.6070396503054574,3.7926231303418803,3.8288929260651634,3.335415146441372,2.625541666666667,3.635229166666667,3.580956904761905,2.625541666666667,933.7024065243625,0.0,0.0,933.7024065243625,0.0,0.0,0.0,4.68407481060606,0.0,0.0,0.0,4.306878787878787,0,0,0,0,0
2,17140,com-B,8,12901,1500,3573,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,610.3996849927117,1348.1436441431997,756.071700620995,3.6070396503054574,3.950017094017094,3.8560290570175444,3.3968005860215054,2.625541666666667,3.950017094017094,3.635229166666667,2.625541666666667,933.7024065243625,0.0,0.0,933.7024065243625,0.0,0.0,0.0,4.68407481060606,0.0,0.0,0.0,4.306878787878787,0,0,0,0,0
2,17140,com-B,9,14415,1514,3607,991.458877390025,364.50471149533513,4.0,0.0,1517.2853111153477,0.0,0.0,0.0,2714.6150297569066,0.0,846.6834721643656,1867.9315575925407,3.6070396503054574,0.0,3.7926231303418803,3.5328062582908886,2.625541666666667,0.0,3.635229166666667,2.625541666666667,933.7024065243625,0.0,0.0,933.7024065243625,0.0,0.0,0.0,4.68407481060606,0.0,0.0,0.0,4.306878787878787,0,0,0,0,0
