cycle;name;location.x;location.y;location.z;name;my_district;indicator;threshold;status_on;should_be_activated;threshold_reached;timer_activated;has_activated_levers;timer_duration;lever_type;lever_name;box_title;progression_bar;help_lever_msg;activation_label_L1;activation_label_L2;player_msg;row_index;col_index;associated_actions;activation_queue;activated_levers
768;Densification_out_Coast_Border_and_Risk_Area_Lever0;12.499999999999996;83.36363636363637;0.0;Densification_out_Coast_Border_and_Risk_Area_Lever0;District(0);0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Dens Hab hors ZI&ZL;Dens Hab hors ZI&ZL (0);0 actions \/ 2 max;Versement à la commune à hauteur de -25% du coût de densification;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;9;0;[];[];[]
768;Expropriation_Lever0;12.5;87.86363636363637;0.0;Expropriation_Lever0;District(0);0;1.0;true;false;false;false;false;240000;WITHDRAWAL;Exproprie;Exproprie (0);0 expropriation \/ 1 max;Versement à la commune à hauteur de -25% du coût d\'expropriation;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;9;0;[];[];[]
768;Destroy_Dike_Lever0;12.5;92.45454545454547;0.0;Destroy_Dike_Lever0;District(0);0.1518761983018351;0.01;true;false;false;false;false;240000;WITHDRAWAL;Démantelle Digue;Démantelle Digue (1);1109 m \/ 0.01 * 7302 m at t0;Versement à la commune à hauteur de -50% du coût de démantellement si a aussi exproprié;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;10;0;[Player_Action(2)];[];[]
768;Create_Dike_Lever1;37.5;19.72727272727273;0.0;Create_Dike_Lever1;District(2);0.0;0.2;true;false;false;false;false;240000;BUILDER;Construit Digue;Construit Digue (0);0 m \/ 0.2 * 1510 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;1;[];[];[]
768;Raise_Dike_Lever1;37.5;24.227272727272734;0.0;Raise_Dike_Lever1;District(2);0.0;0.2;true;false;false;false;false;240000;BUILDER;Rehausse Digue;Rehausse Digue (0);0 m \/ 0.2 * 1510 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;1;[];[];[]
768;Repair_Dike_Lever1;37.5;28.81818181818182;0.0;Repair_Dike_Lever1;District(2);0.0;0.2;true;false;false;false;false;240000;BUILDER;Renove Digue;Renove Digue (0);0 m \/ 0.2 * 1510 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les coûts dans les BTP augmentent considérablement;3;1;[];[];[]
768;AU_or_Ui_in_Coast_Border_Area_Lever1;37.5;33.31818181818182;0.0;AU_or_Ui_in_Coast_Border_Area_Lever1;District(2);0;2.0;true;false;false;false;false;240000;BUILDER;Const\/Densi non adapt en ZL;Const\/Densi non adapt en ZL (0);0 actions \/ 2 max;Retard de 2 tours;;;Un renforcement de la loi Littoral retarde vos projets;3;1;[];[];[]
768;AU_or_Ui_in_Risk_Area_Lever1;37.5;37.909090909090914;0.0;AU_or_Ui_in_Risk_Area_Lever1;District(2);0;1.0;true;false;false;false;false;240000;BUILDER;Const\/Densi en ZI;Const\/Densi en ZI (0);0 actions \/ 1 max;Prélevement de la commune à hauteur de 50% du coût de l\'action;;;Les coûts dans les BTP augmentent considérablement;4;1;[];[];[]
768;Ganivelle_Lever1;37.5;42.40909090909091;0.0;Ganivelle_Lever1;District(2);0;0.1;true;false;false;false;false;240000;SOFT_DEFENSE;Construit Ganivelle;Construit Ganivelle (0);0 m \/ 0.1 * 3941 m dunes;Versement à la commune à hauteur de -25% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;4;1;[];[];[]
768;Us_out_Coast_Border_or_Risk_Area_Lever1;37.5;47.00000000000001;0.0;Us_out_Coast_Border_or_Risk_Area_Lever1;District(2);0;2.0;true;false;false;false;false;240000;SOFT_DEFENSE;Hab Adap hors ZL et ZI;Hab Adap hors ZL et ZI (0);0 actions \/ 2 max;Versement à la commune à hauteur de -25% du coût de ganivelle;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;5;1;[];[];[]
768;Us_in_Coast_Border_Area_Lever1;37.5;51.50000000000001;0.0;Us_in_Coast_Border_Area_Lever1;District(2);0;2.0;true;false;false;false;false;240000;SOFT_DEFENSE;Hab Adap en ZL;Hab Adap en ZL (0);0 actions \/ 2 max;Versement à la commune à hauteur de -50% du coût d\'adaptation;;;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;5;1;[];[];[]
768;Us_in_Risk_Area_Lever1;37.5;56.09090909090909;0.0;Us_in_Risk_Area_Lever1;District(2);0;2.0;true;false;false;false;false;240000;SOFT_DEFENSE;Hab Adap en ZI;Hab Adap en ZI (0);0 actions \/ 2 max;Versement à la commune à hauteur de -50% du coût d\'adaptation;;;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;6;1;[];[];[]
768;Inland_Dike_Lever1;37.5;60.59090909090909;0.0;Inland_Dike_Lever1;District(2);0.0;0.01;true;false;false;false;false;240000;SOFT_DEFENSE;Const Retrodigue;Const Retrodigue (0);0 m \/ 0.01 * 1510 m dikes at t0;Avance de 1 Tour;;;Des aides existent de la part du gouvernement pour renforcer la gestion intégrée des risques;6;1;[];[];[]
768;No_Dike_Creation_Lever1;37.5;65.18181818181819;0.0;No_Dike_Creation_Lever1;District(2);0.0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Pas Const Digue;Pas Const Digue (0);3 tours \/ 2 max;Durant 2.0 tours consécutifs, le joueur ne contruit pas de digue. Versement à la commune à hauteur de -50% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;1;[];[];[]
768;No_Dike_Raise_Lever1;37.5;69.68181818181819;0.0;No_Dike_Raise_Lever1;District(2);0.0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Pas Rehausse Digue;Pas Rehausse Digue (0);3 tours \/ 2 max;Durant 2.0 tours consécutifs, le joueur ne réhausse pas de digue. Versement à la commune à hauteur de -50% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;1;[];[];[]
768;No_Dike_Repair_Lever1;37.5;74.27272727272728;0.0;No_Dike_Repair_Lever1;District(2);0.0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Pas Renove Digue;Pas Renove Digue (0);3 tours \/ 2 max;Durant 2.0 tours consécutifs, le joueur ne rénove pas de digue. Versement à la commune à hauteur de -50% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;8;1;[];[];[]
768;A_to_N_in_Coast_Border_or_Risk_Area_Lever1;37.5;78.77272727272728;0.0;A_to_N_in_Coast_Border_or_Risk_Area_Lever1;District(2);0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Agr vers Nat ds ZL\/ZI;Agr vers Nat ds ZL\/ZI (0);0 actions \/ 2 max;Versement à la commune à hauteur de -50% du coût d\'une densification préalablement réalisée hors ZL&ZI;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;8;1;[];[];[]
768;Densification_out_Coast_Border_and_Risk_Area_Lever1;37.5;83.36363636363637;0.0;Densification_out_Coast_Border_and_Risk_Area_Lever1;District(2);0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Dens Hab hors ZI&ZL;Dens Hab hors ZI&ZL (0);0 actions \/ 2 max;Versement à la commune à hauteur de -25% du coût de densification;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;9;1;[];[];[]
768;Expropriation_Lever1;37.5;87.86363636363637;0.0;Expropriation_Lever1;District(2);0;1.0;true;false;false;false;false;240000;WITHDRAWAL;Exproprie;Exproprie (0);0 expropriation \/ 1 max;Versement à la commune à hauteur de -25% du coût d\'expropriation;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;9;1;[];[];[]
768;Destroy_Dike_Lever1;37.5;92.45454545454547;0.0;Destroy_Dike_Lever1;District(2);1.1562913907284769;0.01;true;false;false;false;false;240000;WITHDRAWAL;Démantelle Digue;Démantelle Digue (4);1746 m \/ 0.01 * 1510 m at t0;Versement à la commune à hauteur de -50% du coût de démantellement si a aussi exproprié;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;10;1;[Player_Action(13),Player_Action(14),Player_Action(15),Player_Action(20)];[];[]
768;Create_Dike_Lever2;62.5;19.727272727272734;0.0;Create_Dike_Lever2;District(3);0.0;0.2;true;false;false;false;false;240000;BUILDER;Construit Digue;Construit Digue (0);0 m \/ 0.2 * 2713 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;2;[];[];[]
768;Raise_Dike_Lever2;62.5;24.22727272727273;0.0;Raise_Dike_Lever2;District(3);0.0;0.2;true;false;false;false;false;240000;BUILDER;Rehausse Digue;Rehausse Digue (0);0 m \/ 0.2 * 2713 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;2;[];[];[]
768;Repair_Dike_Lever2;62.5;28.81818181818182;0.0;Repair_Dike_Lever2;District(3);0.0;0.2;true;false;false;false;false;240000;BUILDER;Renove Digue;Renove Digue (0);0 m \/ 0.2 * 2713 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les coûts dans les BTP augmentent considérablement;3;2;[];[];[]
768;AU_or_Ui_in_Coast_Border_Area_Lever2;62.5;33.31818181818182;0.0;AU_or_Ui_in_Coast_Border_Area_Lever2;District(3);0;2.0;true;false;false;false;false;240000;BUILDER;Const\/Densi non adapt en ZL;Const\/Densi non adapt en ZL (0);0 actions \/ 2 max;Retard de 2 tours;;;Un renforcement de la loi Littoral retarde vos projets;3;2;[];[];[]
768;AU_or_Ui_in_Risk_Area_Lever2;62.5;37.909090909090914;0.0;AU_or_Ui_in_Risk_Area_Lever2;District(3);0;1.0;true;false;false;false;false;240000;BUILDER;Const\/Densi en ZI;Const\/Densi en ZI (0);0 actions \/ 1 max;Prélevement de la commune à hauteur de 50% du coût de l\'action;;;Les coûts dans les BTP augmentent considérablement;4;2;[];[];[]
768;Ganivelle_Lever2;62.5;42.409090909090914;0.0;Ganivelle_Lever2;District(3);0;0.1;true;false;false;false;false;240000;SOFT_DEFENSE;Construit Ganivelle;Construit Ganivelle (0);0 m \/ 0.1 * 2787 m dunes;Versement à la commune à hauteur de -25% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;4;2;[];[];[]
768;Us_out_Coast_Border_or_Risk_Area_Lever2;62.5;47.00000000000001;0.0;Us_out_Coast_Border_or_Risk_Area_Lever2;District(3);0;2.0;true;false;false;false;false;240000;SOFT_DEFENSE;Hab Adap hors ZL et ZI;Hab Adap hors ZL et ZI (0);0 actions \/ 2 max;Versement à la commune à hauteur de -25% du coût de ganivelle;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;5;2;[];[];[]
768;Us_in_Coast_Border_Area_Lever2;62.5;51.50000000000001;0.0;Us_in_Coast_Border_Area_Lever2;District(3);0;2.0;true;false;false;false;false;240000;SOFT_DEFENSE;Hab Adap en ZL;Hab Adap en ZL (0);0 actions \/ 2 max;Versement à la commune à hauteur de -50% du coût d\'adaptation;;;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;5;2;[];[];[]
768;Us_in_Risk_Area_Lever2;62.5;56.09090909090909;0.0;Us_in_Risk_Area_Lever2;District(3);0;2.0;true;false;false;false;false;240000;SOFT_DEFENSE;Hab Adap en ZI;Hab Adap en ZI (0);0 actions \/ 2 max;Versement à la commune à hauteur de -50% du coût d\'adaptation;;;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;6;2;[];[];[]
768;Inland_Dike_Lever2;62.5;60.59090909090909;0.0;Inland_Dike_Lever2;District(3);0.0;0.01;true;false;false;false;false;240000;SOFT_DEFENSE;Const Retrodigue;Const Retrodigue (0);0 m \/ 0.01 * 2713 m dikes at t0;Avance de 1 Tour;;;Des aides existent de la part du gouvernement pour renforcer la gestion intégrée des risques;6;2;[];[];[]
768;No_Dike_Creation_Lever2;62.5;65.18181818181819;0.0;No_Dike_Creation_Lever2;District(3);0.0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Pas Const Digue;Pas Const Digue (0);3 tours \/ 2 max;Durant 2.0 tours consécutifs, le joueur ne contruit pas de digue. Versement à la commune à hauteur de -50% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;2;[];[];[]
768;No_Dike_Raise_Lever2;62.5;69.68181818181819;0.0;No_Dike_Raise_Lever2;District(3);0.0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Pas Rehausse Digue;Pas Rehausse Digue (0);3 tours \/ 2 max;Durant 2.0 tours consécutifs, le joueur ne réhausse pas de digue. Versement à la commune à hauteur de -50% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;2;[];[];[]
768;No_Dike_Repair_Lever2;62.5;74.27272727272728;0.0;No_Dike_Repair_Lever2;District(3);0.0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Pas Renove Digue;Pas Renove Digue (0);3 tours \/ 2 max;Durant 2.0 tours consécutifs, le joueur ne rénove pas de digue. Versement à la commune à hauteur de -50% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;8;2;[];[];[]
768;A_to_N_in_Coast_Border_or_Risk_Area_Lever2;62.5;78.77272727272728;0.0;A_to_N_in_Coast_Border_or_Risk_Area_Lever2;District(3);2;2.0;true;false;false;false;false;240000;WITHDRAWAL;Agr vers Nat ds ZL\/ZI;Agr vers Nat ds ZL\/ZI (2);2 actions \/ 2 max;Versement à la commune à hauteur de -50% du coût d\'une densification préalablement réalisée hors ZL&ZI;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;8;2;[Player_Action(10),Player_Action(11)];[];[]
768;Densification_out_Coast_Border_and_Risk_Area_Lever2;62.5;83.36363636363637;0.0;Densification_out_Coast_Border_and_Risk_Area_Lever2;District(3);0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Dens Hab hors ZI&ZL;Dens Hab hors ZI&ZL (0);0 actions \/ 2 max;Versement à la commune à hauteur de -25% du coût de densification;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;9;2;[];[];[]
768;Expropriation_Lever2;62.5;87.86363636363637;0.0;Expropriation_Lever2;District(3);0;1.0;true;false;false;false;false;240000;WITHDRAWAL;Exproprie;Exproprie (0);0 expropriation \/ 1 max;Versement à la commune à hauteur de -25% du coût d\'expropriation;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;9;2;[];[];[]
768;Destroy_Dike_Lever2;62.5;92.45454545454547;0.0;Destroy_Dike_Lever2;District(3);0.0;0.01;true;false;false;false;false;240000;WITHDRAWAL;Démantelle Digue;Démantelle Digue (0);0 m \/ 0.01 * 2713 m at t0;Versement à la commune à hauteur de -50% du coût de démantellement si a aussi exproprié;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;10;2;[];[];[]
768;Create_Dike_Lever3;87.5;19.727272727272734;0.0;Create_Dike_Lever3;District(5);0.0;0.2;true;false;false;false;false;240000;BUILDER;Construit Digue;Construit Digue (0);0 m \/ 0.2 * 19742 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;3;[];[];[]
768;Raise_Dike_Lever3;87.5;24.227272727272734;0.0;Raise_Dike_Lever3;District(5);0.01691824536521122;0.2;true;false;false;false;false;240000;BUILDER;Rehausse Digue;Rehausse Digue (1);334 m \/ 0.2 * 19742 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;3;[Player_Action(12)];[];[]
768;Repair_Dike_Lever3;87.5;28.81818181818182;0.0;Repair_Dike_Lever3;District(5);0.08210920879343532;0.2;true;false;false;false;false;240000;BUILDER;Renove Digue;Renove Digue (3);1621 m \/ 0.2 * 19742 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les coûts dans les BTP augmentent considérablement;3;3;[Player_Action(4),Player_Action(18),Player_Action(21)];[];[]
