clc;manning
111;0.12
112;0.12
121;0.12
122;0.12
123;0.12
124;0.12
131;0.04
132;0.04
133;0.04
141;0.11
142;0.03
211;0.032
212;0.032
213;0.035
221;0.07
222;0.1
223;0.05
231;0.04
241;0.035
242;0.06
243;0.04
244;0.14
311;0.15
312;0.16
313;0.17
321;0.03
322;0.07
323;0.07
324;0.14
331;0.03
332;0.104
333;0.104
334;0.104
335;0
411;0.055
412;0.08
421;0.055
422;0.055
423;0.025
511;0.025
512;0.025
521;0.025
522;0.025
523;0.02
