cycle;name;location.x;location.y;location.z;name;my_district;indicator;threshold;status_on;should_be_activated;threshold_reached;timer_activated;has_activated_levers;timer_duration;lever_type;lever_name;box_title;progression_bar;lever_help_msg;activation_label_L1;activation_label_L2;player_msg;row_index;col_index;associated_actions;activation_queue;activated_levers
8814;Create_Dike_Lever0;12.5;19.727272727272734;0.0;Create_Dike_Lever0;District(13);0.0;0.2;true;false;false;false;false;120000;BUILDER;Construit Digue;Construit Digue (0);0 m \/ 0.2 * 10278 m à t0;;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;0;[];[];[]
8814;Raise_Dike_Lever0;12.5;24.22727272727273;0.0;Raise_Dike_Lever0;District(13);0.04057209573847052;0.2;true;false;false;false;false;120000;BUILDER;Rehausse Digue;Rehausse Digue (4);417 m \/ 0.2 * 10278 m à t0;;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;0;[Player_Action(0),Player_Action(10),Player_Action(11),Player_Action(12)];[];[]
8814;Repair_Dike_Lever0;12.5;28.81818181818182;0.0;Repair_Dike_Lever0;District(13);0.00972951936174353;0.2;true;false;false;false;false;120000;BUILDER;Renove Digue;Renove Digue (1);100 m \/ 0.2 * 10278 m à t0;;;;Les coûts dans les BTP augmentent considérablement;3;0;[Player_Action(20)];[];[]
8814;AU_or_Ui_in_Coast_Area_Lever0;12.5;33.31818181818182;0.0;AU_or_Ui_in_Coast_Area_Lever0;District(13);3;2.0;true;true;true;false;true;120000;BUILDER;Const\/Densi non Adapt en ZL;Const\/Densi non Adapt en ZL (3);3 actions \/ 2 max;;Délai total: 2 tours;;Un renforcement de la loi Littoral retarde vos projets;3;0;[Player_Action(1),Player_Action(3),Player_Action(4)];[];[Activated_Lever(0)]
8814;AU_or_Ui_in_Risk_Area_Lever0;12.5;37.909090909090914;0.0;AU_or_Ui_in_Risk_Area_Lever0;District(13);4;1.0;true;true;true;false;true;120000;BUILDER;Const\/Densi en ZI;Const\/Densi en ZI (4);4 actions \/ 1 max;;Dernier prélèvement : 175.0 By;Total prélevé : 725 By;Les coûts dans les BTP augmentent considérablement;4;0;[Player_Action(1),Player_Action(8),Player_Action(16),Player_Action(26)];[];[Activated_Lever(1),Activated_Lever(7),Activated_Lever(12)]
8814;Us_out_Coast_and_Risk_Area_Lever0;12.5;42.409090909090914;0.0;Us_out_Coast_and_Risk_Area_Lever0;District(13);3;2.0;true;true;true;false;true;120000;SOFT_DEFENSE;Const Adap hors ZL&ZI;Const Adap hors ZL&ZI (3);3 actions \/ 2 max;;Last payment : 250.0 By;Total paid : 250 By;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;4;0;[Player_Action(15),Player_Action(21),Player_Action(23)];[];[Activated_Lever(9)]
8814;Us_in_Coast_Area_Lever0;12.5;47.00000000000001;0.0;Us_in_Coast_Area_Lever0;District(13);6;2.0;true;true;true;false;true;120000;SOFT_DEFENSE;Const Adap en ZL;Const Adap en ZL (6);6 actions \/ 2 max;;Dernier paimenet : 500.0 By;Total subventionné : 2000 By;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;5;0;[Player_Action(2),Player_Action(5),Player_Action(9),Player_Action(13),Player_Action(14),Player_Action(24)];[];[Activated_Lever(2),Activated_Lever(5),Activated_Lever(6),Activated_Lever(11)]
8814;Us_in_Risk_Area_Lever0;12.5;51.50000000000001;0.0;Us_in_Risk_Area_Lever0;District(13);1;2.0;true;false;false;false;false;120000;SOFT_DEFENSE;Const Adap en ZI;Const Adap en ZI (1);1 actions \/ 2 max;;;;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;5;0;[Player_Action(24)];[];[]
8814;Inland_Dike_Lever0;12.5;56.09090909090909;0.0;Inland_Dike_Lever0;District(13);0.0;0.01;true;false;false;false;false;120000;SOFT_DEFENSE;Const Retrodigue;Const Retrodigue (0);0 m \/ 0.01 * 10278 m digues à t0;;;;Des aides existent de la part du gouvernement pour renforcer la gestion intégrée des risques;6;0;[];[];[]
8814;No_Dike_Creation_Lever0;12.5;65.18181818181819;0.0;No_Dike_Creation_Lever0;District(13);0.0;2.0;true;false;false;false;true;120000;WITHDRAWAL;Pas Const Digue;Pas Const Digue (2);7 tours \/ 2 max;;Dernier paimenet : 500.0 By.;Total subventionné : 907 By.;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;0;[];[];[Activated_Lever(3),Activated_Lever(8)]
8814;No_Dike_Raise_Lever0;12.5;69.68181818181819;0.0;No_Dike_Raise_Lever0;District(13);0.0;2.0;true;false;true;false;true;120000;WITHDRAWAL;Pas Rehausse Digue;Pas Rehausse Digue (2);3 tours \/ 2 max;;Dernier paimenet : 500.0 By.;Total subventionné : 1000 By.;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;0;[Player_Action(0),Player_Action(10),Player_Action(11),Player_Action(12)];[];[Activated_Lever(4),Activated_Lever(10)]
