round;dist;sub_level;uu;us;udense;au;aa;nn
0;com-A;1;10.0;0.0;0.0;0.0;7.6;30.4
0;com-A;2;1.2;0.0;0.0;0.0;16.3;33.2
0;com-A;3;4.3;0.0;0.0;0.0;48.4;36.9
0;com-B;1;10.6;0.0;0.8;0.0;117.0;11.6
0;com-B;2;1.3;0.0;0.2;0.0;133.7;9.2
0;com-B;3;4.8;0.0;0.0;0.0;172.0;7.5
0;com-C;1;0.3;0.0;0.0;0.0;128.1;1.5
0;com-C;2;0.1;0.0;0.0;0.0;134.4;0.5
0;com-C;3;0.0;0.0;0.0;0.0;151.9;0.2
0;com-D;1;3.8;0.0;0.0;0.0;86.9;41.6
0;com-D;2;1.7;0.0;0.0;0.0;59.3;29.2
0;com-D;3;2.4;0.0;0.0;0.0;53.6;32.8

